run,method,seed,query_set,task,subset,ndcg_at_10
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,biology,0.0947
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,earth_science,0.1535
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,economics,0.1188
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,psychology,0.1325
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,robotics,0.1214
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,stackoverflow,0.1063
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,sustainable_living,0.1017
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,pony,0.1519
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,leetcode,0.1584
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,aops,0.0126
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,theoremqa_theorems,0.0434
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,original,BrightRetrieval,theoremqa_questions,0.0838
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,biology,0.1406
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,earth_science,0.2175
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,economics,0.1940
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,psychology,0.2656
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,robotics,0.1630
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,stackoverflow,0.1193
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,sustainable_living,0.1533
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,pony,0.1519
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,leetcode,0.1584
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,aops,0.0301
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.8379
G1-BGE-M3-E0-s42,G1-BGE-M3-E0,42,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.1375
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,biology,0.1830
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,earth_science,0.1739
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,economics,0.1497
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,psychology,0.2052
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,robotics,0.1508
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,stackoverflow,0.1403
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,sustainable_living,0.1681
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,pony,0.0825
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,leetcode,0.0996
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,aops,0.0218
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,theoremqa_theorems,0.0481
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,original,BrightRetrieval,theoremqa_questions,0.1020
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,biology,0.2606
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,earth_science,0.2446
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,economics,0.2559
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,psychology,0.3473
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,robotics,0.2001
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,stackoverflow,0.1558
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,sustainable_living,0.2286
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,pony,0.0825
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,leetcode,0.0996
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,aops,0.0384
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6389
G1-BGE-M3-INFONCE-Seed2026-s2026,G1-BGE-M3-INFONCE,2026,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.1667
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,biology,0.1745
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,earth_science,0.1655
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,economics,0.1432
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,psychology,0.2020
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,robotics,0.1495
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,stackoverflow,0.1420
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,sustainable_living,0.1678
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,pony,0.0843
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,leetcode,0.1006
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,aops,0.0228
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,theoremqa_theorems,0.0471
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,original,BrightRetrieval,theoremqa_questions,0.1017
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,biology,0.2465
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,earth_science,0.2449
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,economics,0.2458
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,psychology,0.3385
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,robotics,0.1926
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,stackoverflow,0.1543
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,sustainable_living,0.2153
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,pony,0.0843
G1-BGE-M3-INFONCE-Seed3407-s3407,G1-BGE-M3-INFONCE,3407,gpt_reasoning,BrightRetrieval,leetcode,0.1006
