run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
G1-Reasoning-diver-E0-s42,1,0,1,23.12,23.12,23.12,23.12,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-E0-s42/mteb_eval/bright/AQ-MedAI__Diver-Retriever-0.6B__tokens-v2__pool-fp32/9ce2a1e8acae4342c453e1a18b71d468c4c81e39
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,1,0,1,22.84,22.84,22.84,22.84,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-RL-Graded-Seed3407-s3407/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-RL-Graded-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,1,0,1,22.71,22.71,22.71,22.71,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-RL-Graded-Seed2026-s2026/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-RL-Graded-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-RL-Graded-s42,1,0,1,22.44,22.44,22.44,22.44,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-RL-Graded-s42/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-RL-Graded-s42__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-LL-Graded-s42,1,0,1,21.56,21.56,21.56,21.56,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-LL-Graded-s42/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-LL-Graded-s42__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,1,0,1,21.26,21.26,21.26,21.26,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-LL-Graded-Seed2026-s2026/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-LL-Graded-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,1,0,1,21.23,21.23,21.23,21.23,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-LL-Graded-Seed3407-s3407/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-LL-Graded-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-CL-Seed2026-s2026,1,0,1,19.59,19.59,19.59,19.59,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-CL-Seed2026-s2026/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-CL-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-CL-s42,1,0,1,19.51,19.51,19.51,19.51,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-CL-s42/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-CL-s42__tokens-v2__pool-fp32/no_revision_available
G1-Reasoning-diver-CL-Seed3407-s3407,1,0,1,19.43,19.43,19.43,19.43,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-reasoning-e0/G1-Reasoning-diver-CL-Seed3407-s3407/mteb_eval/bright/iclr2027-reasoning-e0__G1-Reasoning-diver-CL-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
