run,group,dataset,count,answer_recall_at_5,answer_recall_at_10,answer_recall_at_20,answer_mrr_at_10,answer_mrr_at_20,evidence_group_recall_at_5,evidence_group_recall_at_10,evidence_group_recall_at_20,all_evidence_success_at_5,all_evidence_success_at_10,all_evidence_success_at_20,evidence_mapping_success,generator_em,generator_token_f1,source
E0,round1-baseline,nq,3610,0.6992,0.7684,0.8235,0.5632,0.5671,,,,,,,,0.3499,0.4568,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,hotpotqa,7405,0.4835,0.545,0.5969,0.3836,0.3872,0.0903,0.1031,0.1127,0.0459,0.0651,0.0791,0.1529,0.3259,0.4267,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,popqa,14267,0.7112,0.7674,0.8095,0.6009,0.6039,,,,,,,,0.4222,0.4925,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,triviaqa,11313,0.7496,0.7924,0.8252,0.6524,0.6547,,,,,,,,0.61,0.6967,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,2wikimultihopqa,12576,0.3946,0.4625,0.5198,0.2953,0.2993,0.2016,0.2239,0.2382,0.052,0.0846,0.1081,0.3746,0.2876,0.3507,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,musique,2417,0.2197,0.2789,0.3517,0.1523,0.1575,0.0673,0.074,0.0818,0.0074,0.0116,0.017,0.2052,0.0736,0.1493,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,bamboogle,125,0.192,0.296,0.384,0.1356,0.1417,,,,,,,,0.192,0.2807,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,training_domain_avg,,0.5913,0.6567,0.7102,0.4734,0.4772,,,,,,,,0.3379,0.4417,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,held_out_avg,,0.4534,0.5194,0.578,0.3673,0.3714,,,,,,,,0.3171,0.394,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
E0,round1-baseline,macro_avg,,0.4928,0.5586,0.6158,0.3976,0.4016,,,,,,,,0.323,0.4076,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_e0/summary.json
R1-CL,round1,nq,3610,0.7186,0.7817,0.831,0.5898,0.5933,,,,,,,,0.3562,0.4644,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,hotpotqa,7405,0.4253,0.4787,0.5329,0.348,0.3518,0.0855,0.0953,0.1052,0.0323,0.0474,0.0636,0.1529,0.3064,0.4043,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,popqa,14267,0.7095,0.7668,0.8098,0.6026,0.6056,,,,,,,,0.4192,0.4911,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,triviaqa,11313,0.7238,0.7709,0.809,0.6215,0.6242,,,,,,,,0.6024,0.6866,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,2wikimultihopqa,12576,0.3205,0.3841,0.4447,0.2436,0.2478,0.1941,0.2086,0.2217,0.0343,0.0562,0.0783,0.3746,0.2568,0.3195,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,musique,2417,0.1709,0.2176,0.2615,0.1254,0.1285,0.0774,0.0842,0.0908,0.0083,0.0112,0.0145,0.2052,0.0509,0.1174,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,bamboogle,125,0.168,0.216,0.288,0.0921,0.0971,,,,,,,,0.168,0.2757,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,training_domain_avg,,0.5719,0.6302,0.682,0.4689,0.4725,,,,,,,,0.3313,0.4343,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,held_out_avg,,0.4185,0.4711,0.5226,0.337,0.3406,,,,,,,,0.2995,0.378,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-CL,round1,macro_avg,,0.4624,0.5166,0.5681,0.3747,0.3783,,,,,,,,0.3086,0.3941,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_cl_s42/summary.json
R1-RetRL-MRR,round1,nq,3610,0.6978,0.7681,0.8224,0.5652,0.5691,,,,,,,,0.3501,0.4573,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,hotpotqa,7405,0.4675,0.5222,0.5722,0.3751,0.3786,0.0935,0.1042,0.1127,0.0482,0.0647,0.0782,0.1529,0.3222,0.4202,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,popqa,14267,0.7063,0.7612,0.804,0.5982,0.6012,,,,,,,,0.415,0.4867,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,triviaqa,11313,0.7322,0.7803,0.815,0.6326,0.6351,,,,,,,,0.605,0.6902,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,2wikimultihopqa,12576,0.3906,0.4573,0.5165,0.2931,0.2972,0.2082,0.2284,0.2435,0.0592,0.0903,0.1151,0.3746,0.2832,0.3454,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,musique,2417,0.1891,0.2333,0.2983,0.1345,0.139,0.0746,0.0824,0.089,0.0103,0.0124,0.017,0.2052,0.0592,0.1308,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,bamboogle,125,0.192,0.248,0.384,0.1126,0.1218,,,,,,,,0.168,0.2737,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,training_domain_avg,,0.5827,0.6452,0.6973,0.4702,0.4739,,,,,,,,0.3362,0.4387,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,held_out_avg,,0.442,0.496,0.5636,0.3542,0.3589,,,,,,,,0.3061,0.3854,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-MRR,round1,macro_avg,,0.4822,0.5386,0.6018,0.3873,0.3917,,,,,,,,0.3147,0.4006,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_mrr_s42/summary.json
R1-RetRL-NDCG,round1,nq,3610,0.7017,0.7712,0.8216,0.5729,0.5765,,,,,,,,0.3607,0.4632,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,hotpotqa,7405,0.4891,0.548,0.6045,0.3899,0.3939,0.0975,0.1091,0.1183,0.0567,0.0751,0.089,0.1529,0.3309,0.4337,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,popqa,14267,0.6994,0.7569,0.8019,0.5904,0.5936,,,,,,,,0.4134,0.4847,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,triviaqa,11313,0.7329,0.7808,0.8166,0.6339,0.6364,,,,,,,,0.6025,0.6875,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,2wikimultihopqa,12576,0.3954,0.4621,0.5222,0.2945,0.2987,0.2101,0.2306,0.246,0.0642,0.0946,0.1209,0.3746,0.2884,0.3499,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,musique,2417,0.1932,0.2449,0.307,0.1399,0.1442,0.074,0.083,0.0894,0.0091,0.0149,0.0182,0.2052,0.0674,0.1399,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
