backbone,method,seed,run,query_set,status,completed_subsets,missing_subsets,avg_ndcg_at_10,biology,earth_science,economics,psychology,robotics,stackoverflow,sustainable_living,pony,leetcode,aops,theoremqa_theorems,theoremqa_questions,source,result_root,error,failure
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,complete,12,,22.01125,28.057,39.561,22.649,31.373,15.359,18.822,21.851000000000003,2.9080000000000004,21.071,3.077,38.917,20.49,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,complete,12,,30.119833333333332,50.097,50.08200000000001,31.499,42.766,25.956000000000003,37.915,34.678,9.432,14.124999999999998,3.1919999999999997,41.118,20.578,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,complete,12,,30.69633333333333,51.73,49.945,31.469,41.884,26.311,39.141999999999996,35.92,10.395,15.176,3.1620000000000004,42.038,21.184,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,complete,12,,30.051333333333332,52.138,49.791999999999994,30.744,41.826,23.964,39.42,35.908,9.177,14.889,2.9080000000000004,39.262,20.588,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,complete,12,,25.964916666666667,35.254000000000005,39.34,25.419000000000004,35.211999999999996,23.166999999999998,29.613,29.951,8.932,18.986,3.454,40.78,21.471,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,lambdaloss,3407,Q4B-LORA-LambdaLoss-Seed3407,gpt4-reasoning,complete,12,,25.489583333333336,35.138000000000005,38.435,25.635,37.129,23.137,29.852,29.803,7.037,16.922,3.091,39.556000000000004,20.14,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,lambdaloss,2026,Q4B-LORA-LambdaLoss-Seed2026,gpt4-reasoning,complete,12,,25.614333333333335,35.831,40.083,25.302000000000003,36.533,21.343,29.896,29.542,7.582,17.615,3.309,39.306999999999995,21.029,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,reler,42,Q4B-LORA-RELER-K0,gpt4-reasoning,complete,12,,30.77433333333333,51.693999999999996,50.373999999999995,32.354,44.554,26.223999999999997,37.397999999999996,32.633,13.308,13.238,3.965,43.141,20.409,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-K0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-RELER-K0-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-K0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,reler,3407,Q4B-LORA-RELER-K0-Seed3407,gpt4-reasoning,complete,12,,31.516166666666667,53.75,53.337999999999994,31.575999999999997,45.734,28.401,39.459,33.539,15.675,11.514000000000001,4.149,42.0,19.059,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-K0-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-RELER-K0-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-K0-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
4b,reler,2026,Q4B-LORA-RELER-K0-Seed2026,gpt4-reasoning,complete,12,,30.92175,51.955,50.005,32.818999999999996,45.601,25.678,37.888,33.706,15.073,13.456000000000001,3.458,42.74,18.682000000000002,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-K0-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-RELER-K0-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-RELER-K0-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
