run,task,type,score
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,SprintDuplicateQuestions,PairClassification,96.09
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,MTOPDomainClassification,Classification,93.36
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STS17,STS,86.29
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,TwitterURLCorpus,PairClassification,84.74
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,TRECCOVID,Retrieval,82.84
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,BIOSSES,STS,82.6
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STS13,STS,82.58
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STS15,STS,81.7
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,Banking77Classification,Classification,80.83
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STSBenchmark,STS,79.72
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,ImdbClassification,Classification,76.33
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STS14,STS,74.78
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,MassiveScenarioClassification,Classification,73.88
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,FEVERHardNegatives,Retrieval,73.23
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,SICK-R,STS,71.59
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,MassiveIntentClassification,Classification,69.52
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,AmazonCounterfactualClassification,Classification,68.0
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STS22.v2,STS,66.85
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,STS12,STS,65.6
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,HotpotQAHardNegatives,Retrieval,64.42
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,ToxicConversationsClassification,Classification,63.49
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,TweetSentimentExtractionClassification,Classification,62.18
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,TwitterSemEval2015,PairClassification,59.94
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,AskUbuntuDupQuestions,Reranking,59.64
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,ArXivHierarchicalClusteringP2P,Clustering,58.39
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,ArXivHierarchicalClusteringS2S,Clustering,57.94
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,StackExchangeClustering.v2,Clustering,57.68
