run,task,subset,score
G1-Reasoning-diver-E0-s42,BrightRetrieval,biology,37.59
G1-Reasoning-diver-E0-s42,BrightRetrieval,earth_science,41.59
G1-Reasoning-diver-E0-s42,BrightRetrieval,economics,29.36
G1-Reasoning-diver-E0-s42,BrightRetrieval,psychology,28.64
G1-Reasoning-diver-E0-s42,BrightRetrieval,robotics,19.82
G1-Reasoning-diver-E0-s42,BrightRetrieval,stackoverflow,25.74
G1-Reasoning-diver-E0-s42,BrightRetrieval,sustainable_living,21.99
G1-Reasoning-diver-E0-s42,BrightRetrieval,pony,3.98
G1-Reasoning-diver-E0-s42,BrightRetrieval,leetcode,9.24
G1-Reasoning-diver-E0-s42,BrightRetrieval,aops,3.44
G1-Reasoning-diver-E0-s42,BrightRetrieval,theoremqa_theorems,34.94
G1-Reasoning-diver-E0-s42,BrightRetrieval,theoremqa_questions,21.07
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,biology,37.77
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,earth_science,32.72
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,economics,27.18
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,psychology,30.3
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,robotics,19.54
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,stackoverflow,27.21
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,sustainable_living,26.69
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,pony,4.16
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,leetcode,10.62
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,aops,2.46
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,34.19
G1-Reasoning-diver-RL-Graded-Seed3407-s3407,BrightRetrieval,theoremqa_questions,21.18
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,biology,36.12
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,earth_science,31.6
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,economics,26.85
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,psychology,30.75
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,robotics,19.47
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,stackoverflow,27.88
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,sustainable_living,26.14
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,pony,4.11
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,leetcode,10.12
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,aops,2.43
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,35.58
G1-Reasoning-diver-RL-Graded-Seed2026-s2026,BrightRetrieval,theoremqa_questions,21.46
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,biology,36.11
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,earth_science,32.55
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,economics,26.58
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,psychology,30.88
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,robotics,18.9
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,stackoverflow,26.95
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,sustainable_living,25.23
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,pony,4.27
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,leetcode,9.87
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,aops,2.3
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,theoremqa_theorems,33.9
G1-Reasoning-diver-RL-Graded-s42,BrightRetrieval,theoremqa_questions,21.71
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,biology,34.26
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,earth_science,31.63
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,economics,25.0
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,psychology,27.87
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,robotics,17.78
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,stackoverflow,25.7
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,sustainable_living,24.11
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,pony,3.74
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,leetcode,11.33
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,aops,2.74
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,theoremqa_theorems,33.42
G1-Reasoning-diver-LL-Graded-s42,BrightRetrieval,theoremqa_questions,21.11
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,biology,34.31
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,earth_science,31.59
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,economics,25.38
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,psychology,27.46
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,robotics,18.22
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,stackoverflow,25.36
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,sustainable_living,23.1
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,pony,3.4
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,leetcode,10.78
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,aops,2.4
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,32.42
G1-Reasoning-diver-LL-Graded-Seed2026-s2026,BrightRetrieval,theoremqa_questions,20.66
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,biology,33.84
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,earth_science,31.66
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,economics,24.94
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,psychology,27.68
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,robotics,18.04
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,stackoverflow,25.3
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,sustainable_living,23.88
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,pony,3.67
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,leetcode,11.2
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,aops,2.42
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,31.62
G1-Reasoning-diver-LL-Graded-Seed3407-s3407,BrightRetrieval,theoremqa_questions,20.52
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,biology,29.13
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,earth_science,23.75
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,economics,24.49
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,psychology,23.46
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,robotics,17.77
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,stackoverflow,27.76
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,sustainable_living,23.46
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,pony,3.84
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,leetcode,8.68
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,aops,3.23
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,30.05
G1-Reasoning-diver-CL-Seed2026-s2026,BrightRetrieval,theoremqa_questions,19.42
G1-Reasoning-diver-CL-s42,BrightRetrieval,biology,28.98
G1-Reasoning-diver-CL-s42,BrightRetrieval,earth_science,23.34
G1-Reasoning-diver-CL-s42,BrightRetrieval,economics,23.92
G1-Reasoning-diver-CL-s42,BrightRetrieval,psychology,23.95
G1-Reasoning-diver-CL-s42,BrightRetrieval,robotics,18.88
G1-Reasoning-diver-CL-s42,BrightRetrieval,stackoverflow,28.26
G1-Reasoning-diver-CL-s42,BrightRetrieval,sustainable_living,24.0
G1-Reasoning-diver-CL-s42,BrightRetrieval,pony,3.64
G1-Reasoning-diver-CL-s42,BrightRetrieval,leetcode,8.62
G1-Reasoning-diver-CL-s42,BrightRetrieval,aops,3.02
G1-Reasoning-diver-CL-s42,BrightRetrieval,theoremqa_theorems,28.17
G1-Reasoning-diver-CL-s42,BrightRetrieval,theoremqa_questions,19.35
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,biology,28.06
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,earth_science,23.97
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,economics,23.57
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,psychology,23.21
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,robotics,17.43
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,stackoverflow,28.13
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,sustainable_living,23.82
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,pony,4.01
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,leetcode,8.95
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,aops,2.79
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,30.01
G1-Reasoning-diver-CL-Seed3407-s3407,BrightRetrieval,theoremqa_questions,19.22
