backbone,method,seed,run,query_set,subset,ndcg_at_10,score,run_status,source
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,biology,0.28057,28.057,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,earth_science,0.39561,39.561,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,economics,0.22649,22.649,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,psychology,0.31373,31.373,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,robotics,0.15359,15.359,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,stackoverflow,0.18822,18.822,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,sustainable_living,0.21851000000000004,21.851000000000003,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,pony,0.029080000000000005,2.9080000000000004,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,leetcode,0.21071,21.071,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,aops,0.03077,3.077,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
