run,method,seed,query_set,task,subset,ndcg_at_10
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,biology,0.3560
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,earth_science,0.3552
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,economics,0.2669
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,psychology,0.3316
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,robotics,0.2099
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,stackoverflow,0.2876
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,sustainable_living,0.2731
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,pony,0.0118
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,leetcode,0.1027
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,aops,0.0302
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,theoremqa_theorems,0.3252
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,original,BrightRetrieval,theoremqa_questions,0.1936
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,biology,0.6121
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,earth_science,0.5001
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,economics,0.4961
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,psychology,0.5546
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,robotics,0.3616
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,stackoverflow,0.3453
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,sustainable_living,0.4777
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,pony,0.0118
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,leetcode,0.1027
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,aops,0.0885
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6804
G1-R2-CL-Strong-Seed2026-s2026,G1-R2-CL-Strong,2026,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2641
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,biology,0.3360
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,earth_science,0.3295
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,economics,0.2594
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,psychology,0.3379
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,robotics,0.2093
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,stackoverflow,0.2852
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,sustainable_living,0.2772
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,pony,0.0108
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,leetcode,0.1011
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,aops,0.0334
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,theoremqa_theorems,0.3259
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,original,BrightRetrieval,theoremqa_questions,0.2015
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,biology,0.5899
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,earth_science,0.4908
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,economics,0.4887
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,psychology,0.5548
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,robotics,0.3581
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,stackoverflow,0.3357
