run,method,seed,query_set,task,subset,ndcg_at_10
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,biology,0.1715
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,earth_science,0.3465
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,economics,0.1641
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,psychology,0.2297
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,robotics,0.1295
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,stackoverflow,0.1588
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,sustainable_living,0.1705
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,pony,0.0198
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,leetcode,0.2119
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,aops,0.0372
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,theoremqa_theorems,0.4092
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,original,BrightRetrieval,theoremqa_questions,0.1956
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,biology,0.3302
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,earth_science,0.4787
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,economics,0.3524
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,psychology,0.4622
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,robotics,0.2101
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,stackoverflow,0.1894
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,sustainable_living,0.3130
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,pony,0.0198
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,leetcode,0.2119
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,aops,0.0643
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.7918
Q4B-LORA-E0-s42,Q4B-LORA-E0,42,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2695
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,biology,0.4835
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,earth_science,0.4745
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,economics,0.3113
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,psychology,0.4276
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,robotics,0.2561
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,stackoverflow,0.3421
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,sustainable_living,0.3514
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,pony,0.0540
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,leetcode,0.1533
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,aops,0.0414
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,theoremqa_theorems,0.4545
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,original,BrightRetrieval,theoremqa_questions,0.2369
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,biology,0.6452
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,earth_science,0.5562
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,economics,0.4714
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,psychology,0.5387
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,robotics,0.3499
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,stackoverflow,0.3972
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,sustainable_living,0.4891
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,pony,0.0540
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,leetcode,0.1533
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,aops,0.0960
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6771
Q4B-LORA-InfoNCE-Seed2026-s2026,Q4B-LORA-InfoNCE,2026,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2945
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,biology,0.4954
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,earth_science,0.4663
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,economics,0.3243
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,psychology,0.4107
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,robotics,0.2731
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,stackoverflow,0.3439
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,sustainable_living,0.3691
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,pony,0.0730
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,leetcode,0.1498
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,aops,0.0339
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,theoremqa_theorems,0.4461
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,original,BrightRetrieval,theoremqa_questions,0.2346
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,gpt_reasoning,BrightRetrieval,biology,0.6505
Q4B-LORA-InfoNCE-Seed3407-s3407,Q4B-LORA-InfoNCE,3407,gpt_reasoning,BrightRetrieval,earth_science,0.5706
